"filename", "language", "JSON", "XML", "PHP", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Middleware\AttachBearerTokenFromCookie.php", "PHP", 0, 0, 21, 0, 0, 0, 5, 5, 31
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Middleware\RoleMiddleware.php", "PHP", 0, 0, 18, 0, 0, 0, 5, 8, 31
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\ActivityCourseRequest.php", "PHP", 0, 0, 45, 0, 0, 0, 8, 11, 64
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\AreaRequest.php", "PHP", 0, 0, 16, 0, 0, 0, 8, 5, 29
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\ClassCourseRequest.php", "PHP", 0, 0, 20, 0, 0, 0, 8, 5, 33
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\CourseRequest.php", "PHP", 0, 0, 43, 0, 0, 0, 8, 11, 62
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\CurriculumRequest.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 12, 51
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\EditPassword.php", "PHP", 0, 0, 26, 0, 0, 0, 8, 6, 40
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\LoginRequest.php", "PHP", 0, 0, 17, 0, 0, 0, 8, 5, 30
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\RegisterStudentRequest.php", "PHP", 0, 0, 20, 0, 0, 0, 8, 6, 34
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\RegisterTeacherRequest.php", "PHP", 0, 0, 20, 0, 0, 0, 8, 5, 33
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\VacancyRequest.php", "PHP", 0, 0, 22, 0, 0, 0, 9, 5, 36
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\ContentCourseResource.php", "PHP", 0, 0, 54, 0, 0, 0, 1, 9, 64
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\CurriculumResource.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 9, 44
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\ResourceCourses.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 8, 35
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\ResourceCoursesShow.php", "PHP", 0, 0, 26, 0, 0, 0, 5, 7, 38
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\StudentResource.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\TeacherResource.php", "PHP", 0, 0, 16, 0, 0, 0, 5, 4, 25
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\UserResource.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Resources\VacancyResource.php", "PHP", 0, 0, 25, 0, 0, 0, 5, 9, 39
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Mail\ResetPasswordMail.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 9, 45
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Mail\SendEmailTeacherApproved.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 8, 43
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\ActivityCourse.php", "PHP", 0, 0, 42, 0, 0, 0, 2, 13, 57
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\ActivityProgress.php", "PHP", 0, 0, 21, 0, 0, 0, 2, 8, 31
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\AlternativeActivityCourse.php", "PHP", 0, 0, 23, 0, 0, 0, 1, 11, 35
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Area.php", "PHP", 0, 0, 26, 0, 0, 0, 1, 11, 38
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\ClassCourse.php", "PHP", 0, 0, 40, 0, 0, 0, 2, 14, 56
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Course.php", "PHP", 0, 0, 78, 0, 0, 0, 1, 20, 99
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Curriculum.php", "PHP", 0, 0, 50, 0, 0, 0, 1, 12, 63
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\LessonProgress.php", "PHP", 0, 0, 21, 0, 0, 0, 2, 8, 31
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\StudentAnswer.php", "PHP", 0, 0, 8, 0, 0, 0, 1, 4, 13
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\StudyPlan.php", "PHP", 0, 0, 18, 0, 0, 0, 1, 7, 26
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Teacher.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 8, 33
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\User.php", "PHP", 0, 0, 41, 0, 0, 0, 17, 16, 74
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Vacancy.php", "PHP", 0, 0, 45, 0, 0, 0, 1, 16, 62
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 20, 0, 0, 0, 7, 5, 32
